,file_path,target,embedding
1618,albums\black metal\e5f8f5dd-73cb-417e-aa88-a14f15619763.png,black metal,"[ 0.          0.          0.82117987 ...  0.         28.785192
  0.        ]"
1619,albums\black metal\e7698ea6-1a20-43d7-8982-533bb8728455.png,black metal,[ 0.       0.       0.      ...  0.      28.01824  0.     ]
1620,albums\black metal\e7f03fa3-5d73-42e1-96f0-1ccaf388f929.png,black metal,[0.        0.        7.7241344 ... 0.        0.        4.6073275]
1621,albums\black metal\e87b4f0e-6d9b-4ac3-bfa8-d8352c812ad5.png,black metal,[0. 0. 0. ... 0. 0. 0.]
1622,albums\black metal\e87f6601-d555-4050-8c13-3b4ba8d92e5f.png,black metal,[0. 0. 0. ... 0. 0. 0.]
1623,albums\black metal\e8a6c16e-a509-4229-b94f-86d809e27991.png,black metal,[0.        0.        0.        ... 0.        6.7344217 0.       ]
1624,albums\black metal\eb1826d4-776f-4bf7-93aa-efd3160b3ab9.png,black metal,[0. 0. 0. ... 0. 0. 0.]
1625,albums\black metal\ee9fbaed-a6e2-42d0-912d-12fc8191cc98.png,black metal,[ 0.        0.        0.       ...  0.        5.09459  10.262913]
1626,albums\black metal\f0373a92-26b1-41e0-aeaf-faa0454f11dc.png,black metal,[ 0.        0.       16.33867  ...  0.       18.424564  0.      ]
1627,albums\black metal\f16d987d-079a-4d54-9c2f-d970155c4dbb.png,black metal,[0.        0.        0.        ... 0.        3.0348918 0.       ]
1628,albums\black metal\f4aa338f-4405-4e66-b0df-f31db7bd3605.png,black metal,[0.        0.        0.        ... 8.927789  6.766143  0.7348716]
1629,albums\black metal\f5318e47-002e-48fd-b14b-eef4bce63ab4.png,black metal,[ 0.         0.        19.94384   ...  0.         4.5744467  0.       ]
1630,albums\black metal\f5fc5b4f-26db-4bfe-9d71-7b9d3ffec9d7.png,black metal,[ 0.        0.        0.       ...  0.       15.633993  0.      ]
1631,albums\black metal\f6d1e70b-ef41-3165-9dcb-b51d5c120496.png,black metal,"[31.999096    0.          0.         ...  0.          7.6137776
  0.03706969]"
1632,albums\black metal\f6d20d15-8029-4307-8f58-e49740f90fcf.png,black metal,[0.        0.        0.        ... 0.        0.9350656 0.       ]
1633,albums\black metal\f7df5071-6f2d-4593-a9b1-34fe8ed971c1.png,black metal,[0. 0. 0. ... 0. 0. 0.]
1634,albums\black metal\f8256d65-7f34-41fd-a5a7-95da152b23cc.png,black metal,[0. 0. 0. ... 0. 0. 0.]
1635,albums\black metal\f90f1d00-292f-4454-b751-03c64384b2d6.png,black metal,[0.        0.        0.        ... 0.        7.8503227 0.       ]
1636,albums\black metal\fce52980-0a72-434d-a760-dc89e9ff5aa6.png,black metal,[0. 0. 0. ... 0. 0. 0.]
1637,albums\black metal\fe88a8cf-ffa8-41d1-8c6a-b95690089ad7.png,black metal,[0.        0.        0.        ... 0.        5.0658274 0.       ]
1638,albums\black metal\ff5608e2-77a9-4c1e-bc31-2ebc00c2efa6.png,black metal,[ 0.         0.         0.        ...  0.        13.414564  13.0912895]
1639,albums\classical\0049cfb2-17e7-4316-b60c-4499df770492.png,classical,[0. 0. 0. ... 0. 0. 0.]
1640,albums\classical\0067a2dd-13b0-4e7a-a172-02b9af314675.png,classical,[0.        0.        0.        ... 1.1878858 0.        0.       ]
1641,albums\classical\00ada31b-4d55-4c68-9d60-0c90c4b62895.png,classical,[0. 0. 0. ... 0. 0. 0.]
1642,albums\classical\013a00c7-79c0-48fa-a6bb-5971eba69586.png,classical,[ 0.       0.       0.      ...  0.      34.12778  0.     ]
1643,albums\classical\0155f8b7-a0bf-42d8-99b0-3163065072b6.png,classical,[0. 0. 0. ... 0. 0. 0.]
1644,albums\classical\015f8d06-66b7-4241-9896-01d7676d0977.png,classical,[0. 0. 0. ... 0. 0. 0.]
1645,albums\classical\016c4989-46de-4120-8a44-e24d77fdd15e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1646,albums\classical\022eb339-f96c-4f7a-9ad8-fa8e88ad1c72.png,classical,[0.         0.         0.         ... 0.         0.44707042 0.        ]
1647,albums\classical\02e9d85d-acdc-4534-a60a-b8ab464257c5.png,classical,[0. 0. 0. ... 0. 0. 0.]
1648,albums\classical\02f52d19-4ff7-4561-aa1a-d6e68a6663ca.png,classical,[0. 0. 0. ... 0. 0. 0.]
1649,albums\classical\034588e6-94f5-4694-9502-e74b8f5e26a3.png,classical,[0.        0.        7.0179963 ... 0.        0.        0.       ]
1650,albums\classical\03989225-4cd0-48da-939a-6e4f53c5ac82.png,classical,[0. 0. 0. ... 0. 0. 0.]
1651,albums\classical\03e12bd2-0648-4799-a080-ce434a9736c9.png,classical,[0. 0. 0. ... 0. 0. 0.]
1652,albums\classical\03f0845f-7ff9-43d1-85b2-3c06163040ec.png,classical,[0. 0. 0. ... 0. 0. 0.]
1653,albums\classical\04363ca2-30ea-464c-a160-4ba832b0fa39.png,classical,[0. 0. 0. ... 0. 0. 0.]
1654,albums\classical\0454a215-7904-4b8e-a3a0-9b46480bd69a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1655,albums\classical\0488aa39-9bdd-4422-adb9-16e2bbc8b152.png,classical,[0. 0. 0. ... 0. 0. 0.]
1656,albums\classical\04c88a3f-e502-483f-af6b-b156b8e8fca3.png,classical,[0. 0. 0. ... 0. 0. 0.]
1657,albums\classical\050776b1-3d5b-445c-abe3-500c7ea30042.png,classical,[0.       0.       0.       ... 0.       8.328948 0.      ]
1658,albums\classical\053c013d-c052-4be9-b0d6-39a4506dd637.png,classical,[0. 0. 0. ... 0. 0. 0.]
1659,albums\classical\0623b316-a2c4-4c14-8541-85625b21d701.png,classical,[0. 0. 0. ... 0. 0. 0.]
1660,albums\classical\067cf7a8-3600-498b-a4ef-40943d1f2fcf.png,classical,[0. 0. 0. ... 0. 0. 0.]
1661,albums\classical\06be889b-aa10-4f45-9694-be0e5fb60f09.png,classical,[0. 0. 0. ... 0. 0. 0.]
1662,albums\classical\06d47d4d-3fcd-44e7-ac47-96cfaa325456.png,classical,[0. 0. 0. ... 0. 0. 0.]
1663,albums\classical\06e84b17-09c4-462c-bf94-72b87111439f.png,classical,[0. 0. 0. ... 0. 0. 0.]
1664,albums\classical\071e0f5d-7bd7-4614-8473-5ec76aa8118b.png,classical,[0. 0. 0. ... 0. 0. 0.]
1665,albums\classical\0742902e-4575-4881-8015-fb2164ffa77b.png,classical,[0.        0.        0.        ... 0.        2.2576334 0.       ]
1666,albums\classical\07651db0-913b-4022-baeb-606b960847b1.png,classical,[0. 0. 0. ... 0. 0. 0.]
1667,albums\classical\07da95f5-e267-4124-b7a3-b8c2176e0421.png,classical,[0. 0. 0. ... 0. 0. 0.]
1668,albums\classical\08c42ff1-01bc-40f3-a007-a17d282ba3b7.png,classical,[0.         0.         0.         ... 0.         0.02417994 0.        ]
1669,albums\classical\08d11197-e68f-4e40-a285-44bf38988e54.png,classical,[0. 0. 0. ... 0. 0. 0.]
1670,albums\classical\09106b57-8f05-40c8-a496-03b62797955f.png,classical,[0. 0. 0. ... 0. 0. 0.]
1671,albums\classical\0957700a-cabf-43cd-9f1e-782267136bef.png,classical,[0.       0.       0.       ... 0.       2.158791 0.      ]
1672,albums\classical\09a9631d-2d2d-458d-95d0-45cf379069b1.png,classical,[0. 0. 0. ... 0. 0. 0.]
1673,albums\classical\0a82f3e8-9a8c-49d1-8ce9-e215b4b75338.png,classical,[0.        0.        0.        ... 0.        0.        1.3154688]
1674,albums\classical\0b69eb3f-70ec-44d4-acab-49afaa2dbcfc.png,classical,[0. 0. 0. ... 0. 0. 0.]
1675,albums\classical\0b99ab08-153b-4449-8b59-72bdb5310199.png,classical,[0. 0. 0. ... 0. 0. 0.]
1676,albums\classical\0bc86aed-5e64-4a15-bef6-666a09c9236a.png,classical,[0.        0.        3.2594936 ... 0.        1.3541032 0.       ]
1677,albums\classical\0bd8908c-e008-4afc-be96-e40eb9951a02.png,classical,[0. 0. 0. ... 0. 0. 0.]
1678,albums\classical\0be5a7a2-77d4-4e0e-9aff-ef87e0c59e9a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1679,albums\classical\0c3e5a32-1489-479b-b7dd-14d3d48fb6e1.png,classical,[0. 0. 0. ... 0. 0. 0.]
1680,albums\classical\0c4be31b-3f16-44a7-9286-49bc01043b59.png,classical,[ 0.       0.       0.      ...  0.      27.29219  0.     ]
1681,albums\classical\0c637b8c-7c4a-4db1-b064-bf4ca34889bd.png,classical,[0. 0. 0. ... 0. 0. 0.]
1682,albums\classical\0ce2be66-4e02-4f6a-afbd-0eadc2c5ba00.png,classical,[0. 0. 0. ... 0. 0. 0.]
1683,albums\classical\0d455cd6-44ea-46d5-a388-cc211caef44e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1684,albums\classical\0d526165-083f-41a6-a4e7-2aa9de0737c8.png,classical,[0. 0. 0. ... 0. 0. 0.]
1685,albums\classical\0dce6898-c6e9-4958-b4ac-8bbbc5041375.png,classical,[ 0.        0.        0.       ...  0.        6.098748 10.994453]
1686,albums\classical\0e2fb26a-c2a5-47e5-8ed2-cb8ddb933e6c.png,classical,[0.      0.      0.      ... 0.      0.      2.96825]
1687,albums\classical\0e541d48-05c1-42b7-8ac8-1c0d13edf34a.png,classical,[0.        0.        0.        ... 0.        2.2613142 0.       ]
1688,albums\classical\0e72837b-117e-4710-8546-effeec1aa745.png,classical,[0. 0. 0. ... 0. 0. 0.]
1689,albums\classical\0ea8a1ca-6391-4042-a285-cda8157d4a4d.png,classical,[0. 0. 0. ... 0. 0. 0.]
1690,albums\classical\0edbedb1-89e5-4e08-85a0-0b7894f44c6c.png,classical,[0. 0. 0. ... 0. 0. 0.]
1691,albums\classical\0eebb055-ce23-41dc-b66b-f5a34ed54596.png,classical,[ 0.        0.        0.       ...  0.       11.694595  0.      ]
1692,albums\classical\0ef1da5d-997f-416c-88e7-e21da30fa053.png,classical,[0. 0. 0. ... 0. 0. 0.]
1693,albums\classical\0ef275a4-6551-4ea3-b01b-6c193baff579.png,classical,[0. 0. 0. ... 0. 0. 0.]
1694,albums\classical\0f81b778-1382-48f9-8370-59d776ed4a77.png,classical,[ 0.        0.        0.       ... 48.045303 34.54851   0.      ]
1695,albums\classical\0fc2f672-4161-4c58-a094-37bdca593479.png,classical,[0. 0. 0. ... 0. 0. 0.]
1696,albums\classical\10b781f5-3b67-4d1b-94fd-a931e0dbd777.png,classical,[0. 0. 0. ... 0. 0. 0.]
1697,albums\classical\10ddb516-7a34-4775-828c-f60489f3fe42.png,classical,[0.        0.        0.        ... 0.        7.3633623 0.       ]
1698,albums\classical\11392e47-20c1-4341-9c14-d6329dc85b7d.png,classical,[0.        0.        0.        ... 0.        5.4280124 0.       ]
1699,albums\classical\119f1ef0-b4d6-40d9-8c5f-9f7b17c2e3bf.png,classical,[0. 0. 0. ... 0. 0. 0.]
1700,albums\classical\11c45320-f218-4cc6-8479-1ff4215e95fa.png,classical,[0.        0.        0.        ... 0.        5.9994555 0.       ]
1701,albums\classical\11ffdc8a-5148-4ceb-bbd6-00d883fb8fa6.png,classical,[0. 0. 0. ... 0. 0. 0.]
1702,albums\classical\12045192-25ab-418c-b9b3-d228131c483e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1703,albums\classical\12174d18-e974-413d-8fde-d4f0d01b5192.png,classical,[0. 0. 0. ... 0. 0. 0.]
1704,albums\classical\13bbbcb8-1a29-48ea-8e4b-784250ba9811.png,classical,[0.       0.       5.987156 ... 0.       0.       0.      ]
1705,albums\classical\1408e311-b640-48cb-9ee7-178303800615.png,classical,[5.318267  0.        0.        ... 0.        2.1158564 0.       ]
1706,albums\classical\14379c51-3681-4989-9acc-e4b65c4c6b57.png,classical,[0. 0. 0. ... 0. 0. 0.]
1707,albums\classical\14417245-2edf-4099-abfd-4de38c89f55f.png,classical,[0. 0. 0. ... 0. 0. 0.]
1708,albums\classical\145cd9e3-f1bd-4fa3-8b5f-41d3f9fc3af7.png,classical,[0.        0.        0.        ... 1.9861164 0.        0.       ]
1709,albums\classical\1598f0b3-8292-40b7-9bd2-abc906778eca.png,classical,[0. 0. 0. ... 0. 0. 0.]
1710,albums\classical\15c1834b-408c-4299-986f-315790a8ae3b.png,classical,[ 0.        0.        0.       ...  0.       17.433876  0.      ]
1711,albums\classical\15d31ff4-237d-4432-9778-7a46b40ffadd.png,classical,[0. 0. 0. ... 0. 0. 0.]
1712,albums\classical\15fe3ae0-2a8d-4fe3-a779-e274094dace1.png,classical,[ 0.        0.        0.       ... 20.065844  0.        0.      ]
1713,albums\classical\16be9891-d272-4d04-af86-e0a5ebd0f27d.png,classical,[  0.     163.7783   0.     ...   0.       0.       0.    ]
1714,albums\classical\16cb37fd-a9ef-4d9f-aa17-78ee3e2cb786.png,classical,[0. 0. 0. ... 0. 0. 0.]
1715,albums\classical\17603e36-a501-4dd9-bb1b-269dae31411f.png,classical,"[ 0.          0.         23.705603   ...  0.          0.22452998
  1.7033099 ]"
1716,albums\classical\17b0dc02-aa9c-4a40-8b2c-5df5e61a5b07.png,classical,[0.         0.         0.         ... 0.         0.         0.34089348]
1717,albums\classical\17e906ef-1907-42c0-a94b-db6ac31ca90d.png,classical,[0.        0.        0.        ... 0.        0.        2.9804585]
1718,albums\classical\17f8c32b-c4ef-4b5d-816c-3883daba7f2a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1719,albums\classical\180ec99a-f7c1-47a7-a579-cb5f69a2e96f.png,classical,[0. 0. 0. ... 0. 0. 0.]
1720,albums\classical\181a2380-4c0a-41b4-86c8-9c811ce7af4a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1721,albums\classical\183652d8-1b3a-47e5-b201-40804201cc2b.png,classical,[0. 0. 0. ... 0. 0. 0.]
1722,albums\classical\1866e78e-b5d7-467a-8229-28e6e95cf6db.png,classical,[0. 0. 0. ... 0. 0. 0.]
1723,albums\classical\18d8deb2-72dd-4bd0-8f31-c4f6759d4300.png,classical,[0. 0. 0. ... 0. 0. 0.]
1724,albums\classical\191b5444-ccfa-4d17-964b-bd05f183e81f.png,classical,[ 0.        0.        0.       ...  0.        6.969287 10.225133]
1725,albums\classical\1960261b-6d72-45ab-a0e3-ffced0d1b36d.png,classical,[0.        0.        0.        ... 0.        1.8984077 0.       ]
1726,albums\classical\198bf07a-76a1-4fce-8fee-887e77920cd7.png,classical,[0. 0. 0. ... 0. 0. 0.]
1727,albums\classical\19d4c4c9-d372-430c-a77f-89f81daea138.png,classical,[0. 0. 0. ... 0. 0. 0.]
1728,albums\classical\1a4a29f5-5242-461a-8269-fe7b9914f7c3.png,classical,[0. 0. 0. ... 0. 0. 0.]
1729,albums\classical\1a4f97ae-9c3f-4846-a08d-47d01d951ed3.png,classical,[0. 0. 0. ... 0. 0. 0.]
1730,albums\classical\1b40dec1-1486-4b59-8d56-a7ca8bf0f9e4.png,classical,[0.        0.        0.        ... 0.        5.5980973 0.       ]
1731,albums\classical\1ba52006-2590-44ad-b2af-802b5e2b98f4.png,classical,[0. 0. 0. ... 0. 0. 0.]
1732,albums\classical\1bc125ba-d61c-4afe-a74c-0334964cf7d0.png,classical,[0. 0. 0. ... 0. 0. 0.]
1733,albums\classical\1bdca735-6a9a-4a68-bbbe-128c28ee4edf.png,classical,[0. 0. 0. ... 0. 0. 0.]
1734,albums\classical\1c068f95-4679-421b-8e95-9c0e7adbb4a8.png,classical,[0. 0. 0. ... 0. 0. 0.]
1735,albums\classical\1c1fb792-abba-47b0-8b15-e2a3b6bdac15.png,classical,[0.        0.        0.        ... 0.        0.        1.1871094]
1736,albums\classical\1c244069-2f15-43fb-94db-e17707501c47.png,classical,[0. 0. 0. ... 0. 0. 0.]
1737,albums\classical\1c51ce32-a7fc-4407-9d36-2538f261b6a1.png,classical,[ 0.        0.        0.       ...  0.       31.456547  0.      ]
1738,albums\classical\1c6656ed-006d-4af3-a917-8bbe1596cc6c.png,classical,[0. 0. 0. ... 0. 0. 0.]
1739,albums\classical\1cd797a6-f065-4ee0-a880-fb91c3b85b05.png,classical,[ 0.        0.        0.       ...  0.        0.       21.540789]
1740,albums\classical\1d354e9d-9276-44bc-aa1c-36c0f370870e.png,classical,[ 0.        0.        0.       ...  0.       30.282549  0.      ]
1741,albums\classical\1da6a9d1-7c10-4926-a3b4-9f3067412ff3.png,classical,[0. 0. 0. ... 0. 0. 0.]
1742,albums\classical\1e130faa-a14a-404a-8d64-272fbc680e6b.png,classical,[ 0.         0.         7.8836884 ...  0.        23.517256   0.       ]
1743,albums\classical\1e2bdfb4-a88a-46b2-bdb2-ed8753e3b551.png,classical,[ 0.        0.        0.       ... 27.247215  0.       28.006006]
1744,albums\classical\1e415baa-bb64-4f2b-af5c-831325a2ba92.png,classical,[ 0.         5.9426284 12.245108  ...  0.        17.253103   0.       ]
1745,albums\classical\1e600130-f15b-42a7-8aba-6be4e21f13c8.png,classical,[0.        0.        0.        ... 0.        2.4878652 0.       ]
1746,albums\classical\1ed4b8f6-8fac-425a-9c03-2efb83d3b757.png,classical,[0. 0. 0. ... 0. 0. 0.]
1747,albums\classical\1f300261-4dc0-4930-8218-03cf83c484c7.png,classical,[0. 0. 0. ... 0. 0. 0.]
1748,albums\classical\1f51ef6a-e9bb-4ac5-adc4-2a094dd99465.png,classical,[0.        0.        0.        ... 0.        1.2448983 0.       ]
1749,albums\classical\1fe7ce33-8d60-40e8-8a6f-933bed11fca9.png,classical,[ 0.        0.        0.       ...  0.       27.732313  0.      ]
1750,albums\classical\200d5244-d4cd-4815-82e5-fee0aef5c264.png,classical,[0. 0. 0. ... 0. 0. 0.]
1751,albums\classical\209c21c3-255b-4259-b3cb-de56ebfabfe5.png,classical,[0. 0. 0. ... 0. 0. 0.]
1752,albums\classical\20b603c0-b6a2-4456-b843-604b54ecd56a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1753,albums\classical\20e1927a-3703-4fa5-96d2-a027db1737ee.png,classical,[0. 0. 0. ... 0. 0. 0.]
1754,albums\classical\213f0944-e048-4aa6-8a77-52bed6dbac0a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1755,albums\classical\22419d1c-cfd7-4629-ac82-787a50c6e143.png,classical,[0. 0. 0. ... 0. 0. 0.]
1756,albums\classical\22709bad-0417-4f52-bd23-903a77647f54.png,classical,[0. 0. 0. ... 0. 0. 0.]
1757,albums\classical\22a00bd9-9ce7-4a53-afb0-299776d5605e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1758,albums\classical\22b71c75-aa01-4cd2-abfe-9582ce86f3d1.png,classical,[0. 0. 0. ... 0. 0. 0.]
1759,albums\classical\22d2f8e5-451d-40d4-a8bf-5202e2c27567.png,classical,[ 0.        0.        0.       ... 27.489222  3.775546  0.      ]
1760,albums\classical\23b71b3a-f6d4-4887-aefd-35e3683fe5f1.png,classical,[0. 0. 0. ... 0. 0. 0.]
1761,albums\classical\242b5552-2ad5-4035-91b0-07a0239709ac.png,classical,[0. 0. 0. ... 0. 0. 0.]
1762,albums\classical\246c53f6-ccc1-488d-b4b0-6c0bb2a5836e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1763,albums\classical\24b0a99d-d447-4b17-bbf9-f95ee6f937c2.png,classical,[0. 0. 0. ... 0. 0. 0.]
1764,albums\classical\25bb809a-3be9-4453-b8e2-d4e47ac4ad1a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1765,albums\classical\25c13033-c281-46a6-9cf8-a340532c65e0.png,classical,[0.        0.        0.        ... 0.        4.5405784 0.       ]
1766,albums\classical\270d4c60-8605-4986-a991-6071c151857d.png,classical,[ 0.        0.        0.       ... 14.646521 33.877537  0.      ]
1767,albums\classical\27525a01-2314-407e-a374-ce028edf6d9d.png,classical,[0. 0. 0. ... 0. 0. 0.]
1768,albums\classical\28359cdd-258d-4a81-865e-463f6d20906d.png,classical,[ 0.        0.        0.       ... 62.195072  0.       44.10325 ]
1769,albums\classical\28cf26e8-5c96-47f5-9576-51dd304ffbc9.png,classical,[0. 0. 0. ... 0. 0. 0.]
1770,albums\classical\2910c0a8-d8d0-47e3-aab4-7801f3ae45c7.png,classical,[0. 0. 0. ... 0. 0. 0.]
1771,albums\classical\294f8cd8-3e3f-453f-ab7f-79b666b88663.png,classical,[0. 0. 0. ... 0. 0. 0.]
1772,albums\classical\29ac9084-e471-4215-ab6c-94d70daf1316.png,classical,[ 0.        0.        0.       ...  0.       31.228292  0.      ]
1773,albums\classical\29b94dc9-8467-43ae-a04f-9a5c4320435c.png,classical,[0. 0. 0. ... 0. 0. 0.]
1774,albums\classical\29f1d835-80c6-46db-8aed-3da7c52080a5.png,classical,[0. 0. 0. ... 0. 0. 0.]
1775,albums\classical\2a463e12-e35c-4c36-8caf-e8e96470cf85.png,classical,[0.       0.       0.       ... 0.       8.491171 0.      ]
1776,albums\classical\2a5017a0-ae5d-445d-8e4a-8f18f5cfd073.png,classical,[0. 0. 0. ... 0. 0. 0.]
1777,albums\classical\2a579242-3ea0-49c4-81ce-2032b0a8d337.png,classical,[0. 0. 0. ... 0. 0. 0.]
1778,albums\classical\2a62f042-859e-4128-bee4-6b4442b9c877.png,classical,[0. 0. 0. ... 0. 0. 0.]
1779,albums\classical\2a9ddda9-0cb0-404e-bc19-30b403afba8e.png,classical,[ 0.        0.        0.       ...  0.       25.517488  8.670337]
1780,albums\classical\2abf45d5-12a7-4f63-acb4-bd1746506f76.png,classical,[0. 0. 0. ... 0. 0. 0.]
1781,albums\classical\2affef25-742c-4ae2-a1f8-1c5d7734eac1.png,classical,[0.       0.       0.       ... 0.       4.222126 0.      ]
1782,albums\classical\2b028008-48e4-44af-b653-817df1c41bb2.png,classical,[0.       0.       0.       ... 0.       8.051591 0.      ]
1783,albums\classical\2b4eb182-a685-4e59-ae6a-ff21d4f3b4f9.png,classical,[0. 0. 0. ... 0. 0. 0.]
1784,albums\classical\2b70193c-07ca-47a4-b887-beba62058398.png,classical,[0.        0.        0.        ... 0.        6.0484223 0.       ]
1785,albums\classical\2bccb757-b9e4-40ad-8786-5c165334605a.png,classical,[ 0.         0.         0.        ...  5.8966765  0.        10.853065 ]
1786,albums\classical\2c074777-522c-47fd-b5b1-2bb601907484.png,classical,[0.       0.       0.       ... 7.029161 0.       0.      ]
1787,albums\classical\2c5912e5-e3bf-4d6c-b9e3-f66ae7bafb5e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1788,albums\classical\2c6e4dcc-5f66-471b-8d5f-c4584924392f.png,classical,[0.        0.        0.        ... 0.        0.5758689 0.       ]
1789,albums\classical\2c869c00-bb05-4c8d-b197-fcd83978a2d8.png,classical,[0. 0. 0. ... 0. 0. 0.]
1790,albums\classical\2cccb6a0-4fe2-4d49-b61f-a7b93b600084.png,classical,[0. 0. 0. ... 0. 0. 0.]
1791,albums\classical\2d170166-8b9e-4f35-a264-cfe51fa0af86.png,classical,[0.        0.        0.        ... 0.        5.1286654 0.       ]
1792,albums\classical\2d2379b5-3e57-4b37-987d-0de8c77ffc19.png,classical,[0. 0. 0. ... 0. 0. 0.]
1793,albums\classical\2d3ff017-13c0-4e90-9b19-b9dded9c02ab.png,classical,[0. 0. 0. ... 0. 0. 0.]
1794,albums\classical\2daffeae-2e84-4e38-abfc-47bd313256fe.png,classical,[0. 0. 0. ... 0. 0. 0.]
1795,albums\classical\2dc89d75-d2d1-4af1-9465-08132aca3761.png,classical,[0. 0. 0. ... 0. 0. 0.]
1796,albums\classical\2dfdbd0c-800c-4e36-bd2d-ce27c9ec761f.png,classical,[ 0.        0.        0.       ...  8.387219  0.       23.394394]
1797,albums\classical\2e4ffd3a-80a8-415d-87a3-166460f8fbee.png,classical,[ 0.       0.       0.      ...  0.      68.74304  0.     ]
1798,albums\classical\2ef15ac8-3206-4e85-83d9-26ea21391e90.png,classical,[0. 0. 0. ... 0. 0. 0.]
1799,albums\classical\2f7593c6-5d92-4846-ab18-0e4844664d9b.png,classical,[0. 0. 0. ... 0. 0. 0.]
1800,albums\classical\2f92f97e-189c-4102-829c-3c01f016c4d8.png,classical,[13.977556  0.        0.       ...  0.        0.        0.      ]
1801,albums\classical\2fd63727-eb75-4d04-8120-86cbeb7f5eb1.png,classical,[0. 0. 0. ... 0. 0. 0.]
1802,albums\classical\2fdcb346-d853-4faf-bf49-8004da1e48d3.png,classical,[ 0.        0.        0.       ...  0.       16.340153  0.      ]
1803,albums\classical\2fe418bc-863d-4d39-9a49-d827969a6387.png,classical,[0.        0.        0.        ... 1.9900078 0.        0.       ]
1804,albums\classical\3117f98f-4e53-4150-a1c4-4086358cdade.png,classical,[0. 0. 0. ... 0. 0. 0.]
1805,albums\classical\31fbc969-f567-42ea-8fc3-6bd884d93d7a.png,classical,[0. 0. 0. ... 0. 0. 0.]
1806,albums\classical\32b9f580-7a26-4544-916a-26d5fd0e9cd4.png,classical,[ 0.        0.        0.       ...  0.       12.651786  0.      ]
1807,albums\classical\32cbadae-0048-4fb5-86d7-26d622720447.png,classical,[0. 0. 0. ... 0. 0. 0.]
1808,albums\classical\3339e4ba-d140-4156-8f54-bfae1993a6b6.png,classical,[0. 0. 0. ... 0. 0. 0.]
1809,albums\classical\33a0791f-8c34-405e-8de3-37633fcdf766.png,classical,[0. 0. 0. ... 0. 0. 0.]
1810,albums\classical\33c6b72f-cc8d-449c-a40b-e4d017a4cf90.png,classical,[0.        0.        0.        ... 0.        6.4614487 0.       ]
1811,albums\classical\3455e6fc-b48c-4130-a8c6-815f90dae085.png,classical,[ 0.        0.        0.       ...  0.        0.       18.254255]
1812,albums\classical\34670e9f-1657-4f28-a89f-9c7153b6b3ac.png,classical,[0. 0. 0. ... 0. 0. 0.]
1813,albums\classical\3497883e-3be9-4b78-adc4-9d8ddeb17a5e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1814,albums\classical\349ce828-6359-46b5-8793-aa8852a3f80e.png,classical,[ 0.        0.        0.       ...  0.       12.402754  0.      ]
1815,albums\classical\34a06d70-a91c-4224-9bdc-5f0e0fe501e0.png,classical,[0.        0.        0.        ... 0.        3.6318638 0.       ]
1816,albums\classical\34bf5ff0-9b78-4773-8e6e-44152a74a08a.png,classical,[ 0.      0.      0.     ...  0.      0.     58.0681]
1817,albums\classical\34f7692f-06df-4e5b-95d6-b0a397edec09.png,classical,[0. 0. 0. ... 0. 0. 0.]
1818,albums\classical\34fe4277-3b1e-4526-a8cf-ceeb0b4d28cc.png,classical,[ 0.        0.        0.       ...  0.       33.875748  0.      ]
1819,albums\classical\35564671-e097-4f0e-8d64-21bc4e1e9e79.png,classical,[0.        0.        0.        ... 5.5036073 9.23959   0.       ]
1820,albums\classical\35f79181-3a1d-4e72-9a50-cdc9e440c7c5.png,classical,[0. 0. 0. ... 0. 0. 0.]
1821,albums\classical\36520359-91b0-4196-a807-08137f9299b6.png,classical,[0. 0. 0. ... 0. 0. 0.]
1822,albums\classical\36cd7999-6980-4719-a7d6-9e6b5f77b2bc.png,classical,[0.        0.        0.        ... 0.        5.8871093 0.       ]
1823,albums\classical\36f58858-0994-46da-8c40-dbe51399cc5e.png,classical,[0. 0. 0. ... 0. 0. 0.]
1824,albums\classical\3710ed62-4f4f-4e29-b3a6-8035146d6e0c.png,classical,[0. 0. 0. ... 0. 0. 0.]
1825,albums\classical\373f9621-bbb9-4fbe-9a4d-38268392f6a5.png,classical,[0. 0. 0. ... 0. 0. 0.]
1826,albums\classical\3746af77-418d-455c-aa62-e853f9e1db47.png,classical,[0. 0. 0. ... 0. 0. 0.]
1827,albums\classical\3849bbd0-0bde-4d5c-b4a0-30ae714e1468.png,classical,[ 0.        0.        0.       ...  0.       11.880648  0.      ]
1828,albums\classical\390aa98b-3831-4465-afa3-8904eccc5621.png,classical,[0. 0. 0. ... 0. 0. 0.]
